Name	Actor	Genre	Directors	Maturity	Story-line	Popularity	Distributed_by	Production_Company,Name,Production_Company,Distributed_by,Popularity,Story-line,Actor,Maturity,Genre,Directors
80227304,Love Per Square Foot,RSVP Production,,,"Individually, bank employees Sanjay and Karina don't earn enough to be able to buy a home, so they decide to enter into a marriage of convenience.","Vicky Kaushal, Angira Dhar, Alankrita Sahai",13+ ,"Indian Films, Hindi-Language Films, Romantic Indian Films, Bollywood Films, Comedies, Romantic Comedies, Romantic Films",Anand Tiwari
80083589,Pyaar Ka Punchnama 2,Panorama StudiosViacom 18 Motion Pictures,Panorama Studios,,Three young bachelors find the reality of relationships to be far removed from the idea of true romance that they had once pursued.,"Kartik Aaryan, Nushrat Bharucha, Sonalli Sehgall",16+ ,"Music & Musicals, Indian Musicals, Indian Films, Hindi-Language Films, Romantic Indian Films, Bollywood Films, Comedies, Romantic Comedies, Dramas, Romantic Dramas, Romantic Films",Luv Ranjan
80200047,The Boy Who Harnessed the Wind,,,,A boy with a curious mind finds a way to save his Malawian village from famine. A drama based on the remarkable true story of William Kamkwamba.,,,Dramas,
80213643,Chip & Potato,,,,"A loveable pug and her mouse BFF start kindergarten, welcome new siblings and learn to become part of their community in this series for preschoolers.",,,"Animation, Series, Canadian TV Programmes, Kids’ Programmes, Talking-Animal Kids' TV, Little Kids TV, Little Kids, TV Cartoons",
80225085,The Fast and the Furious Animated Show,,,,Adventures abound as a group of teenagers infiltrates an elite racing league controlled by a nefarious organization bent on world domination.,,,"Animation, Series, Kids’ Programmes, TV Cartoons",
80196883,Rilakkuma and Kaoru,,,,"Kaoru's unexpected new roommate is Rilakkuma, a bear with a zipper on its back that spends each day just lazing around -- but is impossible to hate.",,7+ ,"Adult Animation, Anime, Anime Dramas, Anime Series, Series, Japanese Programmes",
80191048,ReMastered: Massacre at the Stadium,,,,"For years, the murder of Chilean protest singer Victor Jara was blamed on an official in Pinochet's army. Now in exile, he tries to exonerate himself.",,,"Music & Musicals, Music & Concert Documentaries, Documentaries",
80178724,Living with Yourself,,,,"A man who's burned out on life and love undergoes a mysterious treatment, only to find that he's been replaced by a better version of himself.",,,"Series, American Programmes, Comedy Programmes",
80115328,Sacred Games,,,Bollywood icons Saif Ali Khan and Nawazuddin Siddiqui star in this dark thriller series based on Vikram Chandra's novel.,"A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm.","Saif Ali Khan, Nawazuddin Siddiqui, Radhika Apte",18+ ,"Series, TV Programmes based on Books, Hindi-Language TV Programmes, Indian Programmes, Crime Programmes, Drama Programmes, Mystery Programmes","Vikramaditya Motwane, Anurag Kashyap"
80115687,Raman Raghav 2.0,Phantom Films,Reliance Entertainment,,A corrupt cop and a serial killer obsessed with a psychopath from the '60s get caught up in a ruthless cat-and-mouse game in this Indian thriller.,"Nawazuddin Siddiqui, Vicky Kaushal, Sobhita Dhulipala",16+ ,"Critically-acclaimed Films, Indian Films, Hindi-Language Films, Crime Films, Thrillers, Crime Thrillers, Psychological Thrillers",Anurag Kashyap
80182655,Hunterrr,Tailormade FilmsPhantom Films,Shemaroo Entertainment Falco International,,A sex-obsessed young man tries to put his past behind him when he falls for an extraordinary woman who makes him want to change his lifestyle.,"Gulshan Devaiah, Radhika Apte, Sai Tamhankar",13+ ,"Indian Films, Hindi-Language Films, Romantic Indian Films, Comedies, Romantic Comedies, Romantic Films",Harshavardhan Kulkarni
80990815,Gurgaon,,,,"When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems -- and plans -- of his own.","Akshay Oberoi, Pankaj Tripathi, Ragini Khanna",13+ ,"Indian Films, Hindi-Language Films, Dramas, Thrillers",Shanker Raman
80994443,B.A. Pass 2,,,,"A young woman eager to avoid an arranged marriage moves to Mumbai, where she learns hard truths about show business, life and love.","Kritika Sachdeva, Sasho, Sanghmitra Hitaishi",13+ ,"Indian Films, Hindi-Language Films, Bollywood Films, Dramas",Shadab Khan
80992995,Brij Mohan Amar Rahe,,Netflix,"Arjun Mathur, who plays Brij, can also be seen in the series ""Indian Summers"" as violent nationalist Naresh Banerjee.",Faking his death to escape the realities of his uneventful life worked out well for Brij Mohan -- until he was sentenced to death for his own murder.,"Arjun Mathur, Nidhi Singh, Manav Vij",16+ ,"Indian Films, Hindi-Language Films, Crime Films, Crime Dramas, Crime Comedies, Comedies, Dark Comedies, Dramas",Nikhil Nagesh Bhat
80203781,Bhouri,,,,A 23-year-old girl who's married to a man more than twice her age is forced to contend with the predatory nature of a male-dominated society.,"Raghuvir Yadav, Masha Paur, Mohan Joshi",16+ ,"Indian Films, Hindi-Language Films, Dramas",Jasbir Bijendra Bhati
81013710,Love and Shukla,,,,"A sexually inexperienced rickshaw driver struggles to build intimacy with his shy new wife in their tiny, overcrowded quarters.","Saharsh Kumar Shukla, Taneea Rajawat, Hima Singh",13+ ,"Indian Films, Hindi-Language Films, Dramas, Independent Dramas, Independent Films",Jatla Siddartha
80197844,The Eddy (Working Title),,,,"A jazz club in the heart of multicultural Paris faces danger in this musical drama series from ""La La Land"" director Damien Chazelle.",,,"Series, French TV Programmes, Drama Programmes",
80117557,Messiah,,,,"When a man in the Middle East appears to be performing miracles, a rift breaks out over whether he's the Messiah or a fraud in this suspenseful drama.",,,"Series, American Programmes, Drama Programmes",
80217517,Cidades Invisíveis,,,,"While investigating a murder, a detective is drawn into a battle between the visible world and an underground realm inhabited by mythical creatures.",,,"Series, Brazilian TV Programmes, Drama Programmes",
81012541,TRESE,,,,"When the cops are stumped, Alexandra Trese is there to protect Manila from threats of the supernatural kind. Based on the award-winning Filipino comic.",,,"Anime, Anime Series, Series, American Programmes, Horror Programmes",
80177458,Snowpiercer,"
Moho Film
Opus Pictures
Stillking Films
",CJ Entertainment,,"In this futuristic thriller, the world has become a frozen wasteland, and the remaining humans inhabit a giant train that perpetually circles the globe.",,,"Series, American Programmes, Action & Adventure Programmes, Drama Programmes, Sci-Fi & Fantasy Programmes",
80186863,The Umbrella Academy,,,,"A dysfunctional family of superheroes comes together to solve the mystery of their father's death, the threat of the apocalypse and more.",,16+ ,"Series, TV Programmes based on Comics, TV Programmes based on Books, American Programmes, Action & Adventure Programmes, Sci-Fi & Fantasy Programmes, Comedy Programmes",
80992228,Kengan Ashura,,,,Underground gladiator Tokita Ohma fights on behalf of business mogul Nogi Hideki who wagers mega-business deals on the outcome of these brutal matches.,,,"Anime, Anime Series, Series, Japanese Programmes",
80017528,Happy New Year,,,,A revenge-seeking diamond thief gathers a ragtag crew to infiltrate a Dubai hotel hosting a dance contest. But first they have to learn how to dance.,"Shah Rukh Khan, Deepika Padukone, Abhishek Bachchan",13+ ,"Music & Musicals, Indian Musicals, Indian Films, Hindi-Language Films, Bollywood Films, Crime Films, Heist Films, Crime Comedies, Action & Adventure, Action Comedies, Crime Action & Adventure, Comedies",Farah Khan
80166185,Dangal,,,,A once-promising wrestler pursues the gold medal he never won by training two of his daughters to compete at the Commonwealth Games.,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh",7+ ,"Critically-acclaimed Films, Indian Films, Hindi-Language Films, Award-winning Films, National Film Award-winning Films, Filmfare Award-winning Films, Dramas, Biographical Dramas, Dramas based on real life, Sports Dramas, Sports Films",Nitesh Tiwari
80125627,Rustom,,,,"A decorated naval officer kills his wife's lover, leading to a sensational trial and a national obsession over passion versus premeditated murder.","Akshay Kumar, Ileana D'Cruz, Arjan Bajwa",13+ ,"Critically-acclaimed Films, Indian Films, Hindi-Language Films, Bollywood Films, Award-winning Films, National Film Award-winning Films, Crime Films, Crime Dramas, Dramas, Courtroom Dramas",Dharmendra Suresh Desai
80057278,Gabbar Is Back,Bhansali Productions,Viacom 18 Motion Pictures,,"After a vengeful college professor targets corruption in the government, he adopts the name ""Gabbar"" and becomes a hero to a weary public.","Akshay Kumar, Shruti Haasan, Sunil Grover",16+ ,"Indian Films, Hindi-Language Films, Crime Films, Crime Dramas, Action & Adventure, Action Thrillers, Crime Action & Adventure, Dramas",Krish
80171598,Kaabil,Filmkraft Productions Pvt. Ltd,Filmkraft Productions Pvt. LtdB4U Motion Pictures,,"The happy life of a young blind couple is shattered when the wife is raped and corrupt police won't help, sending the husband on a quest for revenge.","Hrithik Roshan, Yami Gautam, Ronit Roy",16+ ,"Indian Films, Hindi-Language Films, Bollywood Films, Crime Films, Crime Dramas, Dramas",Sanjay Gupta
70254350,Chennai Express,Red Chillies Entertainment,UTV Motion Pictures[2],,What could have been a sad journey turns joyful for Rahul when he falls in love with a woman en route to submerging his grandfather's ashes.,"Shah Rukh Khan, Deepika Padukone, Nikitin Dheer",13+ ,"Indian Films, Hindi-Language Films, Romantic Indian Films, Bollywood Films, Action & Adventure, Action Comedies, Adventures, Comedies, Romantic Comedies, Romantic Films, Romantic Favourites",Rohit Shetty
80207033,Cowboy Bebop,,,,A ragtag crew of bounty hunters chases down the galaxy's most dangerous criminals. They'll save the world ... for the right price.,,,"Series, American Programmes, Crime Programmes, Action & Adventure Programmes, Sci-Fi & Fantasy Programmes",
81019894,Nailed It! Holiday!,,,Nicole Byer and Jacques Torres return with a shiny new slate of guest judges to see how ho-ho-horrible things can get.,"It's the ""Nailed It!"" holiday special you've been waiting for, with missing ingredients, impossible asks and desserts that look delightfully sad.",,7+ ,"Series, Reality, Variety & Talk Shows, American Programmes, Food & Travel TV",
81033429,15 August,,,,Veteran Bollywood actress Madhuri Dixit turns producer for this lighthearted snapshot of life in the chawls of Mumbai.,,,"Indian Films, Marathi-Language Films, Comedies",
80172145,Diablero,Netflix,,,A young priest enlists the help of a demon hunter and a paranormal expert to search for a kidnapped girl in the underworld of Mexico City.,"Christopher Von Uckermann, Horacio García Rojas, Gisselle Kuri",13+ ,"Series, Mexican TV Programmes, TV Programmes based on Books, Horror Programmes",
80230293,Wu Assassins,Netflix,,,"The last in a line of Chosen Ones, a wannabe chef teams up with a homicide detective to unravel an ancient mystery and take down supernatural assassins.",,,"Series, American Programmes, Drama Programmes",
81018682,Jacob and the Sea Beast,,,,"In his mission to stop a tyrannical captain and save a kidnapped infant, charming seafarer Jacob finds an unlikely ally in a sea monster.",,,"Animation, Adult Animation, Series, American Programmes, Action & Adventure Programmes, Sci-Fi & Fantasy Programmes",
81011159,Little Things,,,,"A cohabiting couple in their 20s navigate the ups and downs of work, modern-day relationships and finding themselves in contemporary Mumbai.","Dhruv Sehgal, Mithila Palkar",16+ ,"Series, Hindi-Language TV Programmes, Indian Programmes, Romance Programmes, Drama Programmes, Comedy Programmes",
80997085,Narcos: Mexico,Netflix,,"Diego Luna (""Rogue One"") and Michael Peña (""American Hustle"") face off in a new ""Narcos"" saga set in Mexico.","Witness the birth of the Mexican drug war in the 1980s as a gritty new ""Narcos"" saga chronicles the true story of the Guadalajara cartel's ascent.","Michael Peña, Diego Luna, Tenoch Huerta",18+ ,"Series, American Programmes, Crime Programmes, Action & Adventure Programmes, Drama Programmes",
80991033,Lust Stories,RSVPFlying Unicorn Entertainment,Netflix,"These four shorts were directed by Indian filmmaking icons Karan Johar, Zoya Akhtar, Dibakar Banerjee and Anurag Kashyap.","In the companion to 2013's ""Bombay Talkies,"" four short films by four of India's biggest directors explore love, sex and relationships in modern India.","Vicky Kaushal, Bhumi Pednekar, Radhika Apte",16+ ,"Critically-acclaimed Films, Indian Films, Hindi-Language Films, Romantic Indian Films, Bollywood Films, Comedies, Romantic Comedies, Dramas, Romantic Dramas, Romantic Films, Romantic Favourites","Zoya Akhtar, Karan Johar, Dibakar Banerjee, Anurag Kashyap"
80025172,Narcos,Netflix,,Won Best TV Drama Series and Best TV Ensemble Cast at Mexico's 2017 Fénix Awards.,The true story of Colombia's infamously violent and powerful drug cartels fuels this gritty gangster drama series.,"Wagner Moura, Pedro Pascal, Boyd Holbrook",16+ ,"Series, American Programmes, Crime Programmes, Action & Adventure Programmes, Drama Programmes",
80117470,13 Reasons Why,Netflix,,Selena Gomez serves as executive producer for this series based on the best-selling novel by Jay Asher.,Why did Hannah Baker take her own life? Her classmates all have secrets ... and the truth is about to come out.,"Dylan Minnette, Katherine Langford, Kate Walsh",16+ ,"Series, TV Programmes based on Books, American Programmes, Teen Programmes, Crime Programmes, Drama Programmes, Mystery Programmes",
80178943,The Boss Baby: Back in Business,Netflix,,,The Boss Baby brings his big brother Tim to the office to teach him the art of business in this animated series sprung from the hit film.,"JP Karliak, Pierce Gagnon, Kevin Michael Richardson",7+ ,"Animation, Series, TV Programmes based on Books, Kids’ Programmes, Comedy Programmes, TV Cartoons",
80223989,Chilling Adventures of Sabrina,,,"Kiernan Shipka (""Mad Men"") stars in this adaptation of the horror comic series by Roberto Aguirre-Sacasa (""Riverdale"").","Magic and mischief collide as half-human, half-witch Sabrina navigates between two worlds: mortal teen life and her family's legacy, the Church of Night.","Kiernan Shipka, Ross Lynch, Miranda Otto",16+ ,"Series, TV Programmes based on Comics, American Programmes, Teen Programmes, Horror Programmes, Sci-Fi & Fantasy Programmes",
80230507,Angela's Christmas,,,"McCourt is best known for his Pulitzer Prize-winning memoir ""Angela's Ashes,"" which was made into an Oscar-nominated film.",A trip to church with her family on Christmas Eve gives young Angela an extraordinary idea. A heartwarming tale based on a story by Frank McCourt.,"Lucy O'Connell, Ruth Negga, Brendan Mullins",All ,"Hollywood Films, Animation, Children & Family Films, Films based on children's books",Damien O’Connor
80211634,Baby,,,,"Fed up with their families and classmates, two teen girls from a wealthy part of Rome are drawn to the city's underworld and start leading double lives.","Benedetta Porcaroli, Alice Pagani, Riccardo Mandolini",16+ ,"Series, Italian TV Programmes, Teen Programmes, Drama Programmes",
80239462,The Emperor of Porn,,,,"This biopic follows the tumultuous life of director Toru Muranishi, who revolutionized the porn industry during the economic boom of 1980s Japan.",,,"Series, Japanese Programmes, Asian Programmes, Drama Programmes",
80182014,Rudy Ray Moore,,,,"When Hollywood shut him out in the 1970s, multi-talented Rudy Ray Moore created his own work, including the well-known blaxploitation film, ""Dolemite.""",,,Dramas,
80202462,Madam C.J. Walker Project,,,,"This limited series chronicles the incredible true story of Madam C.J. Walker, who was the first African-American self-made millionaire.",,,"Series, American Programmes, Drama Programmes",
80201590,Spinning Out,Netflix,,,"After choking during an important performance, a competitive skater dealing with family issues and her own inner demons struggles to revive her career.",,,"Series, American Programmes, Drama Programmes",
80179784,3Below: Tales of Arcadia,,,"Creator Guillermo del Toro gathers an all-star voice cast for this epic sci-fi expansion of the ""Trollhunters"" universe.","After crash-landing in Arcadia, two royal teen aliens struggle to blend in as they evade intergalactic bounty hunters. Created by Guillermo del Toro.",,7+ ,"Animation, Series, Kids’ Programmes, Action & Adventure Programmes, Sci-Fi & Fantasy Programmes, TV Cartoons",
80113673,TE3N,,,,"Still desperate to find his granddaughter nearly a decade after her kidnapping, a devoted grandfather chases a dangerous new lead.","Amitabh Bachchan, Nawazuddin Siddiqui, Vidya Balan",13+ ,"Critically-acclaimed Films, Indian Films, Hindi-Language Films, Crime Films, Crime Dramas, Dramas, Thrillers, Crime Thrillers, Mysteries",Ribhu Dasgupta
70236020,Kahaani,Boundscript Motion Pictures,Viacom 18 Motion PicturesPen India Limited,,"Pregnant and alone in the city of Kolkata, a woman begins a relentless search for her missing husband, only to find that nothing is what it seems.","Vidya Balan, Parambrata Chatterjee, Dhritiman Chatterjee",13+ ,"Critically-acclaimed Films, Indian Films, Hindi-Language Films, Bollywood Films, Award-winning Films, National Film Award-winning Films, Filmfare Award-winning Films, Thrillers, Mysteries, Cyberpunk",Sujoy Ghosh
80080618,Guilty,,,,"When a teen and her family's hired servant turn up dead, inept police bungle the inquiry and wind up fingering a controversial prime suspect.","Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi",16+ ,"Critically-acclaimed Films, Indian Films, Hindi-Language Films, Crime Films, Crime Dramas, Dramas, Dramas based on real life",Meghna Gulzar
80201175,Mom,,,,"After her stepdaughter is sexually assaulted at a party, a furious mother sets out to destroy the lives of the four perpetrators who walked away free.","Sridevi, Akshaye Khanna, Sajal Ali",16+ ,"Critically-acclaimed Films, Indian Films, Hindi-Language Films, Award-winning Films, National Film Award-winning Films, Crime Films, Crime Dramas, Dramas, Thrillers, Crime Thrillers",Ravi Udyawar
80068117,Drishyam,Aashirvad Cinemas,Maxlab Entertainments (India),,An unexceptional man becomes a murder suspect when the son of a high-ranking police official who harassed his daughter goes missing.,"Ajay Devgn, Shriya Saran, Tabu",13+ ,"Critically-acclaimed Films, Indian Films, Hindi-Language Films, Crime Films, Crime Dramas, Dramas, Thrillers, Crime Thrillers, Mysteries",Nishikant Kamat
81016196,Mersal,,,,"A detective arrests a doctor for crimes targeting medical professionals but later finds the real culprit in a tale of revenge, corruption and magic.","Joseph Vijay, S.J. Surya, Kajal Aggarwal",16+ ,"Critically-acclaimed Films, Indian Films, Tamil-Language Films, Award-winning Films, Filmfare Award-winning Films, Action & Adventure, Dramas",Atlee Kumar
80194950,Wine Country,,,,"When a group of longtime girlfriends goes to Napa for the weekend to celebrate their friend's 50th birthday, tensions from the past boil over.","Amy Poehler, Maya Rudolph, Ana Gasteyer",,"International Films, Comedies",Amy Poehler
80207046,Sunderland 'Til I Die,,,,This docuseries follows English soccer club Sunderland through the 2017-18 season as they try to bounce back after relegation from the Premier League.,,16+ ,"Series, Documentary Programmes, British Programmes, Documentaries, Sports Documentaries, Social & Cultural Documentaries",
80203144,THE LAST DANCE,,,,"Michael Jordan opens up in this definitive docuseries about his life and career, which features unseen footage from his final NBA championship run.",,,"Series, Documentary Programmes, American Programmes, Documentaries, Sports Documentaries",
80049832,Our Planet,Netflix,,,"From the creator of ""Planet Earth,"" this series takes viewers on an unprecedented journey through some of the world's most precious natural habitats.",David Attenborough,7+ ,"Series, Documentary Programmes, American Programmes, Documentaries, Science & Nature Documentaries",
80221787,Bad Blood,,,"Kim Coates (“Sons of Anarchy,” “Godless”) and Paul Sorvino (“Goodfellas”) round out the cast of this true crime story.","This sprawling crime drama follows the true story of the Rizzuto family and its associates, who presided over organized crime in Montreal for decades.","Anthony LaPaglia, Kim Coates, Enrico Colantoni",16+ ,"Series, TV Programmes based on Books, American Programmes, Crime Programmes, Drama Programmes",
80221644,October Faction,,,,"Follow the adventures of a retired monster-hunter and his family, which includes a thrill-killer, a witch and a warlock. Based on Steve Niles's comic.",,,"Series, American Programmes, Horror Programmes, Sci-Fi & Fantasy Programmes",
81024729,Nasha,,,,"A teenage boy becomes smitten with his new drama teacher and pursues her, despite the perilous risks of being found out.","Shivam Patil, Poonam Pandey, Sheetal Singh",13+ ,"Indian Films, Hindi-Language Films, Romantic Indian Films, Bollywood Films, Dramas, Romantic Dramas, Romantic Films, Steamy Romance",Amit Saxena
