,Name,Actor,Genre,Directors,Maturity,Story-line,Popularity
80115328,Sacred Games,"Saif Ali Khan, Nawazuddin Siddiqui, Radhika Apte","Series, TV Programmes based on Books, Hindi-Language TV Programmes, Indian Programmes, Crime Programmes, Drama Programmes, Mystery Programmes","Vikramaditya Motwane, Anurag Kashyap",18+ ,"A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm.",Bollywood icons Saif Ali Khan and Nawazuddin Siddiqui star in this dark thriller series based on Vikram Chandra's novel.
80245450,GHOUL,"Radhika Apte, Manav Kaul, Ratnabali Bhattacharjee","Series, Hindi-Language TV Programmes, Indian Programmes, Drama Programmes, Horror Programmes",Patrick Graham,16+ ,"When a new prisoner at a military detention center exhibits eerie behavior, a young interrogator’s search for the truth becomes a battle for survival.","Radhika Apte (""Sacred Games,"" ""Lust Stories"") and Manav Kaul (""Tumhari Sulu"") lead the cast of this horror-thriller series."
80991033,Lust Stories,"Vicky Kaushal, Bhumi Pednekar, Radhika Apte","Critically-acclaimed Films, Indian Films, Hindi-Language Films, Romantic Indian Films, Bollywood Films, Comedies, Romantic Comedies, Dramas, Romantic Dramas, Romantic Films, Romantic Favourites","Zoya Akhtar, Karan Johar, Dibakar Banerjee, Anurag Kashyap",16+ ,"In the companion to 2013's ""Bombay Talkies,"" four short films by four of India's biggest directors explore love, sex and relationships in modern India.","These four shorts were directed by Indian filmmaking icons Karan Johar, Zoya Akhtar, Dibakar Banerjee and Anurag Kashyap."
81011159,Little Things,"Dhruv Sehgal, Mithila Palkar","Series, Hindi-Language TV Programmes, Indian Programmes, Romance Programmes, Drama Programmes, Comedy Programmes",,16+ ,"A cohabiting couple in their 20s navigate the ups and downs of work, modern-day relationships and finding themselves in contemporary Mumbai.",
80992995,Brij Mohan Amar Rahe,"Arjun Mathur, Nidhi Singh, Manav Vij","Indian Films, Hindi-Language Films, Crime Films, Crime Dramas, Crime Comedies, Comedies, Dark Comedies, Dramas",Nikhil Nagesh Bhat,16+ ,Faking his death to escape the realities of his uneventful life worked out well for Brij Mohan -- until he was sentenced to death for his own murder.,"Arjun Mathur, who plays Brij, can also be seen in the series ""Indian Summers"" as violent nationalist Naresh Banerjee."
80025172,Narcos,"Wagner Moura, Pedro Pascal, Boyd Holbrook","Series, American Programmes, Crime Programmes, Action & Adventure Programmes, Drama Programmes",,16+ ,The true story of Colombia's infamously violent and powerful drug cartels fuels this gritty gangster drama series.,Won Best TV Drama Series and Best TV Ensemble Cast at Mexico's 2017 Fénix Awards.
80227304,Love Per Square Foot,"Vicky Kaushal, Angira Dhar, Alankrita Sahai","Indian Films, Hindi-Language Films, Romantic Indian Films, Bollywood Films, Comedies, Romantic Comedies, Romantic Films",Anand Tiwari,13+ ,"Individually, bank employees Sanjay and Karina don't earn enough to be able to buy a home, so they decide to enter into a marriage of convenience.",
80190279,The Indian Detective,"Russell Peters, Anupam Kher, Christina Cole","Series, Canadian TV Programmes, Crime Programmes, Drama Programmes, Mystery Programmes, Comedy Programmes",,13+ ,"In this crime dramedy, a suspended Canadian cop visits his father in Mumbai and assists in investigating a huge criminal operation with links to home.",
80128722,Gerald's Game,"Carla Gugino, Bruce Greenwood, Henry Thomas","Hollywood Films, Critically-acclaimed Films, Thrillers, Psychological Thrillers, Horror Films",Mike Flanagan,16+ ,"When her husband's sex game goes wrong, Jessie -- handcuffed to a bed in a remote lake house -- faces warped visions, dark secrets and a dire choice.","Based on a novel by Stephen King, this claustrophobic thriller stars Carla Gugino and Bruce Greenwood."
80104198,Lost in Space,"Molly Parker, Toby Stephens, Maxwell Jenkins","Series, American Programmes, Action & Adventure Programmes, Drama Programmes, Sci-Fi & Fantasy Programmes",,7+ ,"After crash-landing on an alien planet, the Robinson family fights against all odds to survive and escape. But they're surrounded by hidden dangers.","This reboot of the iconic show stars Molly Parker (""House of Cards""), Toby Stephens (""Black Sails"") and Parker Posey."
80117470,13 Reasons Why,"Dylan Minnette, Katherine Langford, Kate Walsh","Series, TV Programmes based on Books, American Programmes, Teen Programmes, Crime Programmes, Drama Programmes, Mystery Programmes",,16+ ,Why did Hannah Baker take her own life? Her classmates all have secrets ... and the truth is about to come out.,Katherine Langford received a Golden Globe nod for her role in this series based on Jay Asher's best-selling novel.
80244780,Black Moon,,"Series, Italian TV Programmes, Drama Programmes",,,"In 17th century Italy, a teenage midwife accused of witchcraft must choose between a star-crossed love and fulfilling her powerful destiny.",
80217517,Cidades Invisíveis,,"Series, Brazilian TV Programmes, Drama Programmes",,,"While investigating a murder, a detective is drawn into a battle between the visible world and an underground realm inhabited by mythical creatures.",
80231903,In the Shadow of the Moon,,"International Films, Thrillers, Sci-Fi Thrillers, Sci-Fi & Fantasy",,,A Chicago detective leads the hunt for an elusive serial killer whose crimes are timed to the lunar cycle in this sleek sci-fi thriller.,
80191239,Tidelands,"Charlotte Best, Elsa Pataky, Marco Pigossi","Series, Australian TV Programmes, Crime Programmes, Drama Programmes, Sci-Fi & Fantasy Programmes",,16+ ,"Ex-con Cal McTeer's return to her hometown of Orphelin Bay blows the lid off a generations-long conspiracy of silence around murder, drugs and Sirens.","From the creators of Australia's acclaimed murder-mystery miniseries ""Secrets & Lies"" (2014)."
80189648,Hyperdrive,,"Series, Reality, Variety & Talk Shows, American Programmes",,,Daring drivers from around the globe compete for glory as they race through one of the largest automotive obstacle courses ever constructed.,
80236236,Another Life,,"Series, British Programmes, Drama Programmes, Sci-Fi & Fantasy Programmes",,,Astronaut Niko Breckenridge and her young crew face unimaginable danger as they go on a high-risk mission to explore the genesis of an alien artifact.,
80210995,Back with the Ex,,"Series, Australian TV Programmes, Reality, Variety & Talk Shows, Romance Programmes",,13+ ,"In a series of emotional reunions, four singles reconnect with their exes and attempt to reignite their romantic pasts.",
80197889,What/If,,"Series, American Programmes, Drama Programmes",,,"In this neo-noir thriller series, a pair of cash-strapped newlyweds accept a lucrative but morally dubious offer from a mysterious female benefactor.",
80190931,Ghost Wars,"Avan Jogia, Kim Coates, Vincent D'Onofrio","Series, Canadian TV Programmes, Horror Programmes",,16+ ,Local outcast Roman Mercer must harness his repressed psychic powers to save his remote Alaskan town from paranormal forces.,
81030893,May the Devil Take You,"Chelsea Islan, Pevita Pearce, Samo Rafael","International Films, Horror Films, Supernatural Horror Films",Timo Tjahjanto,16+ ,"Hoping to find answers to her estranged father's mysterious illness, a young woman visits his old villa and uncovers a horrifying truth from the past.","This Indonesian box-office hit by Timo Tjahjanto (""The Night Comes for Us"") stars Chelsea Islan and Pevita Pearce."
80145240,Wild Wild Country,,"Series, Award-winning TV Programmes, Documentary Programmes, American Programmes, Crime Programmes, Crime Documentaries, Documentaries, Critically-acclaimed Documentaries, True Crime Documentaries",,16+ ,"When a controversial cult leader builds a utopian city in the Oregon desert, conflict with the locals escalates into a national scandal.",This captivating tale of a utopia gone awry won an Emmy Award for Outstanding Documentary Series.
80195378,Haunted,,"Series, Reality, Variety & Talk Shows, American Programmes, Horror Programmes",,16+ ,"Real people sit down with friends and family to share terrifying true stories from their past, re-created through chilling re-enactments.",
80183051,7Seeds,,"Anime, Anime Dramas, Anime Sci-Fi, Anime Series, Series, Japanese Programmes",,,"When a giant meteorite strikes Earth, the 7 Seeds program activates. Five groups of seven people are now the last survivors of humanity.",
80172145,Diablero,"Christopher Von Uckermann, Horacio García Rojas, Gisselle Kuri","Series, Mexican TV Programmes, TV Programmes based on Books, Horror Programmes",,13+ ,A young priest enlists the help of a demon hunter and a paranormal expert to search for a kidnapped girl in the underworld of Mexico City.,
80993095,Chopsticks,,"Hindi-Language Films, Dramas",,,A gifted but insecure woman is in for a transformative experience when she enlists an enigmatic con to help recover her stolen car from a Mumbai thug.,
80189898,Osmosis,,"Series, French TV Programmes, Drama Programmes",,,"In Paris of the near future, a dating app matches singles with their soul mates by mining their brain data. But decoding true love comes at a price.",
80218200,Titans,,"Series, TV Programmes based on Comics, American Programmes, Crime Programmes, Action & Adventure Programmes, Sci-Fi & Fantasy Programmes",,,"Led by Batman's former protégé Robin, a group of teen heroes forms to fight crime while wrestling with their inner demons.",
80219707,Dead to Me,,"Series, American Programmes, Comedy Programmes",,,A powerful friendship blossoms between a tightly wound widow and a free spirit with a shocking secret in this darkly comic series.,
80210361,Chambers,,"Series, American Programmes",,,"Consumed by the mystery surrounding the donor heart that saved her life, a young patient starts taking on sinister characteristics of the deceased.",
80198137,Tuca & Bertie,,"Series, American Programmes, Action & Adventure Programmes, Comedy Programmes",,,Two bird women -- a carefree toucan and an anxious songbird -- live in the same apartment building and share their lives in this animated comedy.,
80209746,Revenge,"Matilda Lutz, Kevin Janssens, Vincent Colombe","Critically-acclaimed Films, International Films, French Films, Crime Films, Action & Adventure, Action Thrillers, Crime Action & Adventure",Coralie Fargeat,16+ ,A woman left for dead in the desert after a harrowing assault embarks on a brutal and bloody quest for revenge against the three men who betrayed her.,
80164456,The Babysitter,"Samara Weaving, Hana Mae Lee, Judah Lewis","Hollywood Films, Comedies, Dark Comedies, Horror Films, Horror Comedy",McG,16+ ,"When Cole stays up past his bedtime, he discovers that his hot babysitter is part of a satanic cult that will stop at nothing to keep him quiet.","Samara Weaving (""Ash vs Evil Dead"") and Bella Thorne (""You Get Me"") star in this horror-comedy from director McG."
80231373,Ultraman,,"Anime, Anime Action, Anime Series, Series, Japanese Programmes",,,"Years after Ultraman disappeared, Shinjiro learns of his connection to the legendary hero and dons the metallic ultra-suit to fight new aliens.",
81019391,Triad Princess,,"Series, Chinese  Programmes, Taiwanese TV Programmes, Romance Programmes, Asian Programmes, Comedy Programmes",,,"After growing up in the shadow of her mafia-affiliated father, Angie defies his wishes and takes a gig as an undercover bodyguard for a famous actress.",
80232329,Springsteen on Broadway,Bruce Springsteen,"Music & Musicals, Rock & Pop",Thom Zimny,13+ ,Bruce Springsteen shares personal stories from his life and acoustic versions of some of his best-known songs in an intimate one-man show.,
80197526,Sex Education,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa","Series, American Programmes, Teen Programmes, Drama Programmes, Comedy Programmes",,16+ ,Inexperienced Otis channels his sex therapist mom when he teams up with rebellious Maeve to set up an underground sex therapy clinic at school.,
80221787,Bad Blood,"Anthony LaPaglia, Kim Coates, Enrico Colantoni","Series, TV Programmes based on Books, American Programmes, Crime Programmes, Drama Programmes",,16+ ,"This sprawling crime drama follows the true story of the Rizzuto family and its associates, who presided over organized crime in Montreal for decades.","Kim Coates (“Sons of Anarchy,” “Godless”) and Paul Sorvino (“Goodfellas”) round out the cast of this true crime story."
80239931,Patriot Act with Hasan Minhaj,Hasan Minhaj,"Series, American Programmes, Comedy Programmes",,16+ ,"Every Sunday, Hasan Minhaj brings an incisive and nuanced perspective to global news, politics and culture in his unique comedy series.","Comedian and former ""Daily Show"" correspondent Hasan Minhaj won a Peabody Award for his Netflix special ""Homecoming King."""
80203147,To All the Boys I’ve Loved Before,"Lana Condor, Noah Centineo, Janel Parrish","Hollywood Films, Teen Films, Teen Romance, Critically-acclaimed Films, Comedies, Romantic Comedies, Romantic Films, Romantic Films based on a book, Romantic Favourites",Susan Johnson,13+ ,"When her secret love letters somehow get mailed to each of her five crushes, Lara Jean finds her quiet high school existence turned upside down.","Lana Condor (""X-Men: Apocalypse"") and Noah Centineo star in this rom-com based on Jenny Han's best-selling YA novel."
80194558,Selection Day,"Mohammad Samad, Yash Shashank Dholye, Rajesh Tailang","Series, TV Programmes based on Books, Hindi-Language TV Programmes, Indian Programmes, Teen Programmes, Drama Programmes",,13+ ,"When a 14-year-old boy tries out for Mumbai's under-19 cricket team and meets his older brother's rival, everything in his world begins to change.",
80196883,Rilakkuma and Kaoru,,"Adult Animation, Anime, Anime Dramas, Anime Series, Series, Japanese Programmes",,7+ ,"Kaoru's unexpected new roommate is Rilakkuma, a bear with a zipper on its back that spends each day just lazing around -- but is impossible to hate.",
80995991,Vir Das: Losing It,,"Stand-up & Chat Shows, Comedies, Stand-up Comedy",,13+ ,"The world's got a lot of problems, but Vir Das has a lot of answers as he discusses travel, religion, his childhood and more in this stand-up special.",
80177458,Snowpiercer,,"Series, American Programmes, Action & Adventure Programmes, Drama Programmes, Sci-Fi & Fantasy Programmes",,,"In this futuristic thriller, the world has become a frozen wasteland, and the remaining humans inhabit a giant train that perpetually circles the globe.",
81001412,Free Rein: The Twelve Neighs of Christmas,"Jaylen Barron, Billy Angel, Manpreet Bambra","Series, British Programmes, Kids’ Programmes, Drama Programmes, Animal Tales",Marek Losey,7+ ,"As Bright Fields preps for its Mistletoe Ball, a broken ornament leads Zoe to a family secret, while Gaby finds herself at the mercy of new boss Mia.",
80202462,Madam C.J. Walker Project,,"Series, American Programmes, Drama Programmes",,,"This limited series chronicles the incredible true story of Madam C.J. Walker, who was the first African-American self-made millionaire.",
80218455,PINOCCHIO,,"Hollywood Films, Animation, Music & Musicals, Kids' Music, Children & Family Films, Films based on children's books",,,Oscar-winning filmmaker Guillermo del Toro reinvents the classic tale of the wooden puppet who dreams of becoming a real boy.,
80097355,Brahman Naman,"Shashank Arora, Tanmay Dhanania, Chaitanya Varad","Indian Films, Comedies, Independent Films, Independent Comedies",Qaushiq Mukherjee,16+ ,This homage to 1980s teen sex comedies follows a college quiz bowl champion who knows almost everything -- except how to talk to women.,
80190859,Outlaw King,"Chris Pine, Aaron Taylor-Johnson, Florence Pugh","Hollywood Films, Period Pieces, Action & Adventure, Military Action & Adventure, Adventures, Dramas, Dramas based on real life, Military Dramas, Political Dramas",David Mackenzie,16+ ,"In 14th-century Scotland, Robert the Bruce claims the crown and leads a fierce uprising to win back the country's independence from English rule.","In this historical epic based on real events, Chris Pine reunites with his ""Hell or High Water"" director David Mackenzie."
80219143,Ladies First,,"Indian Films, Hindi-Language Films, Documentaries, Biographical Documentaries, Sports Documentaries, Social & Cultural Documentaries, Sports Films",Uraaz Bahl,7+ ,"Born amid poverty and limited women's rights in the village of Ratu, India, Deepika Kumari rose to become the No.1 female archer in the world at 18.",
80057250,Green Eggs and Ham,,"Animation, Series, Kids’ Programmes, TV Cartoons",,,"Opposites Guy and Sam take a road trip to save an endangered animal, learning to try new things like hope, friendship, and a certain delectable dish.",
80242491,The Stranded,,"Series, Thai TV Programmes, Asian Programmes, Drama Programmes, Sci-Fi & Fantasy Programmes",,,"When a tsunami strands dozens of teens on an island at their private school, they soon realize no rescuers are coming and they must save themselves.",
80197462,Daybreak,,"Series, American Programmes, Drama Programmes, Horror Programmes, Sci-Fi & Fantasy Programmes, Comedy Programmes",,,"Navigating a post-apocalyptic world full of zombies and Mad Max-style gangs, a teenage outcast searches for his lost love in this humorous drama series.",
80999643,Bad Seeds,"Kheiron, Catherine Deneuve, André Dussollier","International Films, French Films, Comedies, Dramas",Kheiron,16+ ,"Troubled by his past, a scam artist who runs a petty racket with his adoptive mom finds redemption while mentoring a group of difficult students.",
81018682,Jacob and the Sea Beast,,"Animation, Adult Animation, Series, American Programmes, Action & Adventure Programmes, Sci-Fi & Fantasy Programmes",,,"In his mission to stop a tyrannical captain and save a kidnapped infant, charming seafarer Jacob finds an unlikely ally in a sea monster.",
80230293,Wu Assassins,,"Series, American Programmes, Drama Programmes",,,"The last in a line of Chosen Ones, a wannabe chef teams up with a homicide detective to unravel an ancient mystery and take down supernatural assassins.",
80133042,El Chapo,"Marco de la O, Humberto Busto, Alejandro Aguilar","Series, American Programmes, Crime Programmes, Action & Adventure Programmes, Drama Programmes",,16+ ,"This drama series chronicles the true story of the rise, capture and escape of notorious Mexican drug lord Joaquín ""El Chapo"" Guzmán.",
80997085,Narcos: Mexico,"Michael Peña, Diego Luna, Tenoch Huerta","Series, American Programmes, Crime Programmes, Action & Adventure Programmes, Drama Programmes",,18+ ,"Witness the birth of the Mexican drug war in the 1980s as a gritty new ""Narcos"" saga chronicles the true story of the Guadalajara cartel's ascent.","Diego Luna (""Rogue One"") and Michael Peña (""American Hustle"") face off in a new ""Narcos"" saga set in Mexico."
80177803,Drug Lords,,"Series, Documentary Programmes, American Programmes, Crime Programmes, Crime Documentaries, Documentaries",,16+ ,"Witness the stories of history's most notorious kingpins, their terrifying enforcers, and the men and women who've sworn to bring them down.",
80192098,Money Heist,"Úrsula Corberó, Itziar Ituño, Álvaro Morte","Series, Spanish TV Programmes, Award-winning TV Programmes, Crime Programmes",,16+ ,Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan.,This riveting crime series won Best Drama at the International Emmy Awards and the Premios Fénix.
80116922,Inside the World’s Toughest Prisons,"Paul Connolly, Raphael Rowe","Series, Documentary Programmes, Crime Programmes, British Programmes, Crime Documentaries, Documentaries",,16+ ,"Investigative journalists become voluntary inmates in the world's most volatile prisons, where intimidation and brutality rule.",
70264888,Black Mirror,"Jesse Plemons, Cristin Milioti, Jimmi Simpson","Series, Award-winning TV Programmes, British Programmes, Drama Programmes, Sci-Fi & Fantasy Programmes, Cyberpunk",,16+ ,"This sci-fi anthology series explores a twisted, high-tech near-future where humanity's greatest innovations and darkest instincts collide.","This cult-favorite series has won six Emmys, including two for Outstanding TV Movie (""USS Callister"" and ""San Junipero"")."
80177416,Unsolved,"Josh Duhamel, Jimmi Simpson, Bokeem Woodbine","Series, TV Programmes based on Books, American Programmes, Crime Programmes, Drama Programmes",,16+ ,Ride along for a dramatized version of the real-life investigations into the murders of rap icons Tupac Shakur and Biggie Smalls.,
80025678,The Crown,"Claire Foy, John Lithgow, Matt Smith","Period Pieces, Series, Award-winning TV Programmes, British Programmes, Drama Programmes",,16+ ,This drama follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the 20th century.,"Named Best Drama at the Golden Globes, this acclaimed series netted Emmy Awards for stars Claire Foy and John Lithgow."
80215500,Cocaine Coast,"Javier Rey, Tristán Ulloa, Antonio Durán 'Morris'","Series, Spanish TV Programmes, TV Programmes based on Books, Crime Programmes, Drama Programmes",,16+ ,"In 1980s Galicia, Spain, a young fisherman becomes a prosperous cocaine smuggler by providing Latin American suppliers with a European entry point.",Won a 2018 Ondas Award for Best Spanish Series.
80207124,7 Days Out,,"Series, Documentary Programmes, American Programmes, Documentaries",,13+ ,This docuseries captures the excitement and drama that play out behind the scenes in the days leading up to major live events like the Kentucky Derby.,
81007175,Wolf,"Ahu Türkpençe, Serkan Çayoğlu, Murat Arkin","Series, Turkish Programmes, Action & Adventure Programmes, Drama Programmes",,16+ ,"Tasked with risky operations across Turkey, members of a special-operations police unit confront danger and tragedy both on the field and at home.",
80238565,Derry Girls,,"Series, American Programmes, Teen Programmes, Comedy Programmes",,16+ ,"Amidst the political conflict of Northern Ireland in the 1990s, five high school students square off with the universal challenges of being a teenager.",
80225085,The Fast and the Furious Animated Show,,"Animation, Series, Kids’ Programmes, TV Cartoons",,,Adventures abound as a group of teenagers infiltrates an elite racing league controlled by a nefarious organization bent on world domination.,
80230507,Angela's Christmas,"Lucy O'Connell, Ruth Negga, Brendan Mullins","Hollywood Films, Animation, Children & Family Films, Films based on children's books",Damien O’Connor,All ,A trip to church with her family on Christmas Eve gives young Angela an extraordinary idea. A heartwarming tale based on a story by Frank McCourt.,"McCourt is best known for his Pulitzer Prize-winning memoir ""Angela's Ashes,"" which was made into an Oscar-nominated film."
81029150,Bulbul,,"Hindi-Language Films, Horror Films",,,"A man returns home after years to find his brother’s child bride now grown up and abandoned, and his ancestral village plagued by mysterious deaths.",
80244709,Ali's Wedding,"Osamah Sami, Don Hany, Helana Sawires","Critically-acclaimed Films, Award-winning Films, Comedies, Romantic Comedies, Independent Films, Independent Comedies, Romantic Independent Films, Romantic Films, Romantic Favourites",Jeffrey Walker,16+ ,"After telling a white lie that spins out of control, the son of an Iraqi-born cleric in Melbourne becomes torn between family duty and his own heart.",
80187030,The Innocent Man,John Grisham,"Series, TV Programmes based on Books, Documentary Programmes, American Programmes, Crime Programmes, Crime Documentaries, Documentaries, True Crime Documentaries, Social & Cultural Documentaries",,16+ ,"This documentary adaptation of John Grisham's only nonfiction book raises troubling questions about two murder cases in Ada, Oklahoma, in the 1980s.",
80233221,Followers,,"Series, Japanese Programmes, Asian Programmes, Drama Programmes",,,"After an aspiring actress hits it big thanks to a candid Instagram, her life intersects with many other Tokyo women as they follow their dreams.",
80244283,Maya and the Three,,"Animation, Series, Kids’ Programmes, TV Cartoons",,,"In this animated series set in a mythical world, a warrior princess embarks on a quest to recruit three powerful mercenaries to help save her people.",
80235704,Shimmers,,"Series, Thai TV Programmes, Asian Programmes, Horror Programmes",,,"In this supernatural eco-thriller, five teens at an isolated school in northern Thailand are haunted by their pasts -- and a much more sinister force.",
80211559,I'm Thinking of Ending Things,,"International Films, Dramas",,,An unexpected detour turns a couple's road trip into a terrifying journey through their fragile psyches. Adapted and directed by Charlie Kaufman.,
80115464,Russell Peters: Almost Famous,Russell Peters,"Stand-up & Chat Shows, Comedies, Dark Comedies, Stand-up Comedy",Dave Higby,16+ ,"The comic comes home to Toronto to sound off on cultural quirks, kids' furniture and bathroom visits, reveling in all things ridiculously human.",
70280748,Russell Peters: Notorious,Russell Peters,"Stand-up & Chat Shows, Comedies, Stand-up Comedy",Dave Higby,16+ ,"Global comedy star Russell Peters leaves no ethnic or cultural stereotype unsatirized in this outrageous standup appearance in Sydney, Australia.",Forbes magazine ranked Russell Peters as the third-highest-grossing comedian in the United States in 2013.
70293417,Russell Peters vs. the World,Russell Peters,"Series, Documentary Programmes, American Programmes, Stand-up & Chat Shows, Stand-up Comedy, Documentaries",,16+ ,"A four-part docu-series that's an exclusive, backstage pass to global comedy superstar Russell Peters' record-breaking ""Notorious"" world tour.","In 2013, Peters placed third on Forbes magazine's list of the highest-grossing comedians in America."
80157073,The Good Cop,"Tony Danza, Josh Groban, Monica Barbaro","Series, American Programmes, Crime Programmes, Drama Programmes, Comedy Programmes",,13+ ,"When he's not solving murders, a pathologically honest detective tries to keep an eye on his crooked but kindhearted dad.","Creator Andy Breckman, the man behind the series ""Monk,"" returns with a new comedy-mystery set in New York."
80133552,Vir Das: Abroad Understanding,Vir Das,"Stand-up & Chat Shows, Comedies, Stand-up Comedy",Marcus Raboy,16+ ,"Comedian Vir Das tackles nationalism, globalism, good food and bad politics in two cleverly crosscut performances in New York and New Delhi.",
81005492,Wonderland,,Dramas,,,"Just out of prison and investigating a twisted murder, Spenser is sucked back into Boston’s underbelly. Based on the popular books; Mark Wahlberg stars.",
80209013,Mr. Iglesias,,"Series, American Programmes, Comedy Programmes",,,Stand-up phenom Gabriel Iglesias stars in this series as a good-natured high school history teacher who tries to help gifted misfit kids.,
80993062,The I-Land,,"Series, American Programmes, Drama Programmes",,,"In this sci-fi adventure series, ten people wake up on a treacherous island with no memory and soon discover this world is not as it seems.",
80239866,Sweet Magnolias,,"Series, American Programmes, Romance Programmes, Drama Programmes",,,"Maddie Townsend has a lot on her plate -- including three kids, a cheating husband and one unlikely suitor who has everyone in town talking.",
81003741,The American Meme,"Paris Hilton, Josh Ostrovsky, Brittany Furlan","Documentaries, Social & Cultural Documentaries",Bert Marcus,16+ ,"Social media stars Paris Hilton, Josh Ostrovsky, Brittany Furlan and Kirill Bichutsky hustle to build online empires -- and face the pitfalls of fame.",
80202258,Northern Rescue,,"Series, American Programmes, Drama Programmes",,,"After his wife's death, John West uproots his kids from the city and moves them to a remote coastal community to operate a Search and Rescue service.",
80178603,My Father's Dragon,,"International Films, Children & Family Films, Films based on children's books",,,"Based on the Newbery-winning children's books, this animated film follows a young boy who runs away to an island to rescue and befriend a baby dragon.",
80134721,IO,"Margaret Qualley, Anthony Mackie, Danny Huston","Hollywood Films, Dramas, Sci-Fi & Fantasy",Jonathan Helpert,13+ ,"One of the last survivors on Earth, a teen races to cure her poisoned planet before the final shuttle to a distant space colony leaves her stranded.",
80135164,1922,"Thomas Jane, Molly Parker, Dylan Schmid","Hollywood Films, Critically-acclaimed Films, Crime Films, Crime Dramas, Dramas, Dramas based on a book, Thrillers, Mind Game Thrillers, Crime Thrillers, Psychological Thrillers",Zak Hilditch,16+ ,"A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella.","""1922"" is based on a novella by Stephen King that appears in his horror anthology ""Full Dark, No Stars."""
80217312,The Ritual,"Rafe Spall, Arsher Ali, Robert James-Collier","British Films, Thrillers, Supernatural Thrillers, Horror Films, Supernatural Horror Films",David Bruckner,16+ ,"Four friends with a long-standing -- but strained -- connection take a hiking trip into the Swedish wilderness, from which they may never return.","Andy Serkis (""Lord of the Rings"") serves as a producer of this spooky thriller starring Rafe Spall (""The Big Short"")."
80198661,The Open House,"Dylan Minnette, Piercey Dalton, Patricia Bethune","Hollywood Films, Thrillers, Mind Game Thrillers, Psychological Thrillers, Horror Films","Matt Angel, Suzanne Coote",16+ ,"Following a tragedy, a mother and her teen son move to a relative's vacant vacation home, where eerie and unexplained forces conspire against them.",
80038162,Hot Girls Wanted,,"Critically-acclaimed Films, Documentaries, Critically-acclaimed Documentaries, Biographical Documentaries","Jill Bauer, Ronna Gradus",16+ ,"This 2015 Sundance Film Festival breakout documentary from producer Rashida Jones spotlights the ""amateur"" porn industry and the women it exploits.","Producers Jill Bauer, Ronna Gradus and Rashida Jones are Emmy nominees for Exceptional Merit in Documentary Filmmaking."
80103417,You Me Her,"Greg Poehler, Rachel Blanchard, Priscilla Faia","Series, American Programmes, Comedy Programmes",,16+ ,"To spice up their sex life, yuppie husband and wife Jack and Emma hire an escort. But things take an unexpected turn when romantic feelings surface.",
80161216,Cargo,"Martin Freeman, Anthony Hayes, Susie Porter","Critically-acclaimed Films, Horror Films","Yolanda Ramke, Ben Howling",16+ ,"Amid a terrifying pandemic, a father searches the wilds of Australia for someone willing to protect and care for his infant daughter.",
80155477,You Get Me,"Bella Thorne, Halston Sage, Taylor John Smith","Hollywood Films, Teen Films, Dramas, Thrillers, Mind Game Thrillers",Brent Bonacorso,16+ ,"After a one-night stand, Holly develops a dangerous obsession with Tyler and transfers to his high school, desperate to keep their ""romance"" alive.",
80096955,Clinical,"Vinessa Shaw, Kevin Rahm, William Atherton","Hollywood Films, Thrillers, Mind Game Thrillers, Psychological Thrillers, Horror Films",Alistair Legrand,16+ ,A psychiatrist is plagued by flashbacks to a terrifying attack as she treats a new patient who was horribly disfigured in an accident.,
80231468,Christmas in the Wild,,"Action & Adventure, Adventures, Romantic Films",,,"After her husband leaves her, a stylish New Yorker goes on an African safari alone and finds new purpose in her life. Kristin Davis and Rob Lowe star.",
81018377,Rajma Chawal,"Rishi Kapoor, Anirudh Tanwar, Amyra Dastur","Indian Films, Hindi-Language Films, Romantic Indian Films, Bollywood Films, Comedies, Romantic Comedies, Dramas, Romantic Dramas, Romantic Films",Leena Yadav,16+ ,"Hoping to revive his relationship with his resentful millennial son, an internet-rookie widower assumes the online persona of a young woman.",
80148535,The Dark Crystal: Age of Resistance,,"Series, Kids’ Programmes",,,"In this prequel to the fantasy classic, three young Gelflings inspire a rebellion against the cruel emperor when they discover a horrifying secret.",
80124723,Turn Up Charlie,,"Series, British Programmes, Drama Programmes",,,Idris Elba stars as a failed DJ trying to relaunch his career while working as a nanny for his superstar best friend's wild child 11-year-old daughter.,
80244522,Escape from Hat,,"Hollywood Films, Children & Family Films",,,A desperate rabbit rallies an unexpected band of allies to help him escape from inside a magician's hat and return to the human boy he loves.,
80237957,Avatar The Last Airbender,,"Series, Kids’ Programmes",,,"Long ago, the four nations lived in harmony. Then, everything changed. The animated show's original creators helm a live-action take on Aang's story.",
80211563,Tales of the City,,"Series, American Programmes, Drama Programmes",,,Middle-aged Mary Ann returns to San Francisco and the eccentric friends she left behind. Based on Armistead Maupin's books and starring Laura Linney.,
